condition,method,coverage,selective_mae_mm_day,ci95_low_mm_day,ci95_high_mm_day
temperature_plus5,ConformalCSR,0.45,0.6748287411028786,0.5914883131986968,0.7560567825091303
temperature_plus5,ConformalCSR,0.46,0.6752776095210531,0.5937973106793127,0.7600899999042393
temperature_plus5,ConformalCSR,0.47000000000000003,0.679991321034892,0.5978520702534759,0.7686599763897495
temperature_plus5,ConformalCSR,0.48,0.6800560083461673,0.6024102386786162,0.7730988932026327
temperature_plus5,ConformalCSR,0.49,0.6788282235795712,0.6058816978252067,0.782832596202388
temperature_plus5,ConformalCSR,0.5,0.6768027081897684,0.6086033620641846,0.7878588054197021
temperature_plus5,ConformalCSR,0.51,0.6817257544976658,0.6116606125214431,0.7975025054770374
temperature_plus5,ConformalCSR,0.52,0.6992356588966072,0.6169697051631323,0.8037942776588143
temperature_plus5,ConformalCSR,0.53,0.7193256294128316,0.6195059189845997,0.807372045365549
temperature_plus5,ConformalCSR,0.54,0.7207214415819699,0.6254092311577759,0.8134829461834712
temperature_plus5,ConformalCSR,0.55,0.7233800870943896,0.627771030849896,0.8171136686025949
temperature_plus5,ConformalCSR,0.56,0.7313024153208476,0.6333342990370691,0.8219478101097035
temperature_plus5,ConformalCSR,0.5700000000000001,0.733757864993877,0.6374565186090486,0.8242694672025794
temperature_plus5,ConformalCSR,0.58,0.7369427991410348,0.6435953919998167,0.8261796032181322
temperature_plus5,ConformalCSR,0.59,0.7394077859072035,0.6464832612284209,0.827894680203221
temperature_plus5,ConformalCSR,0.6,0.7427437580345042,0.648769443900764,0.8308403364159558
temperature_plus5,ConformalCSR,0.61,0.7426335014772307,0.6535151549792001,0.8336069605059434
temperature_plus5,ConformalCSR,0.62,0.7439496431536458,0.6573985716877194,0.8365141482823742
temperature_plus5,ConformalCSR,0.63,0.7466409377385425,0.6607187552697424,0.8376379131474221
temperature_plus5,ConformalCSR,0.64,0.7552673464389934,0.6626689416309512,0.8386874227789916
temperature_plus5,ConformalCSR,0.65,0.7551872484607255,0.6657616867787417,0.8413936384497942
temperature_plus5,ConformalCSR,0.66,0.7551873745974185,0.666746174492683,0.8428057684709489
temperature_plus5,ConformalCSR,0.67,0.7549148169023994,0.6694234968695417,0.8453614465125072
