row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,vp_kpa,vpd_kpa,es_kpa,t_max_c,valid,failed_rules
3507,US-FR2,2006-08-28,US-FR2,Mixed Forests,29.94949,-97.99623,3.1,7.4,1.381728446342258,29.62772916666667,0.1632041666666666,2.1511875000000003,-0.8359254794186365,-0.5488429582847199,4.130264638632283,0.1632041666666666,4.293468805298949,39.226,True,
3508,US-FR2,2006-09-13,US-FR2,Mixed Forests,29.94949,-97.99623,2.2,5.5,2.9075577000983297,25.59522916666666,0.1521520833333333,1.7185833333333331,-0.9536809966304456,-0.300819807635668,3.2580349699470164,0.1521520833333333,3.41018705328035,33.575,True,
3509,US-FR2,2006-09-21,US-FR2,Mixed Forests,29.94949,-97.99623,2.5,6.5,2.5035222737520733,25.715666666666664,0.1114124999999999,3.0009166666666656,-0.9859481499638304,-0.1670516255021195,3.377873155675009,0.1114124999999999,3.4892856556750065,33.855,True,
3510,US-FR2,2006-12-26,US-FR2,Mixed Forests,29.94949,-97.99623,0.9,2.2,1.3283467994453269,6.530979166666665,0.0563958333333333,1.4419583333333332,-0.0859647987374467,0.9962981749346076,1.0056110236339244,0.0563958333333333,1.062006856967258,16.998,True,
3511,US-FR2,2007-01-27,US-FR2,Mixed Forests,29.94949,-97.99623,0.5,2.7,0.9908962013755592,13.664145833333334,0.0572770833333333,1.940583333333333,0.4482293417404106,0.893918596519257,1.5648309000054323,0.0572770833333333,1.6221079833387655,20.877,True,
3512,US-FR2,2007-02-04,US-FR2,Mixed Forests,29.94949,-97.99623,1.3,2.5,0.8526151598101741,9.19522916666667,0.0512270833333333,1.3654166666666667,0.5667017562911176,0.8239230057575542,1.261351288263186,0.0512270833333333,1.3125783715965191,20.963,True,
3513,US-FR2,2007-03-08,US-FR2,Mixed Forests,29.94949,-97.99623,2.0,3.4,1.4184210564609483,16.142791666666668,0.0786729166666666,1.7484166666666667,0.9141279881853336,0.4054257283599973,1.9070365284011208,0.0786729166666666,1.9857094450677868,24.961,True,
3514,US-FR2,2007-03-16,US-FR2,Mixed Forests,29.94949,-97.99623,1.4,3.9,1.9233014577625769,15.877062499999996,0.0558999999999999,2.18775,0.9611297838723007,0.2760969730974688,1.783127364729575,0.0558999999999999,1.8390273647295736,20.965,True,
3515,US-FR2,2007-04-01,US-FR2,Mixed Forests,29.94949,-97.99623,2.3,4.1,3.402062863812406,18.554666666666662,0.0891166666666666,1.6463333333333334,0.99999073973619,0.0043035382962442,2.2475200899268404,0.0891166666666666,2.336636756593508,27.557,True,
3516,US-FR2,2007-04-25,US-FR2,Mixed Forests,29.94949,-97.99623,2.4,5.0,3.903334996111649,20.656916666666664,0.11495625,1.5817291666666669,0.9175836260593936,-0.3975428142825559,2.445181226027852,0.11495625,2.5601374760278515,28.259,True,
3517,US-FR2,2007-05-11,US-FR2,Mixed Forests,29.94949,-97.99623,2.9,4.1,4.258592921936524,21.5550625,0.0820375,1.7042916666666668,0.7748840413670407,-0.6321034111873487,2.5737130641482886,0.0820375,2.655750564148288,28.748,True,
3518,US-FR2,2007-05-19,US-FR2,Mixed Forests,29.94949,-97.99623,2.6,3.6000001000000004,3.6372599258875984,20.868291666666668,0.0956416666666667,1.3202083333333337,0.6807734094770161,-0.7324940716135789,2.4441527589877885,0.0956416666666667,2.5397944256544567,26.696,True,
3519,US-FR2,2007-06-04,US-FR2,Mixed Forests,29.94949,-97.99623,5.0,5.5,5.1261751759712055,24.00699999999999,0.096625,1.8934583333333332,0.4559066935084588,-0.8900275764346767,3.0088291006116337,0.096625,3.105454100611635,32.388000000000005,True,
3520,US-FR2,2007-06-12,US-FR2,Mixed Forests,29.94949,-97.99623,5.0,6.8,5.390681555669416,26.433083333333343,0.1149229166666667,1.6488541666666665,0.3294084822245304,-0.9441875088341992,3.4267943503911305,0.1149229166666667,3.5417172670577965,32.787,True,
3521,US-FR2,2007-09-08,US-FR2,Mixed Forests,29.94949,-97.99623,4.1,5.7000003,3.882413714194588,28.19291666666666,0.1064124999999999,1.8172708333333336,-0.9242907221930934,-0.3816892202666586,3.7968448691598353,0.1064124999999999,3.903257369159837,34.096,True,
3522,US-FR2,2007-09-24,US-FR2,Mixed Forests,29.94949,-97.99623,4.4,5.5,2.7538216284749004,23.567458333333345,0.1149020833333333,1.2860208333333334,-0.9932568492674144,-0.1159345995955006,2.9787456869319957,0.1149020833333333,3.093647770265328,32.253,True,
3523,US-FR2,2007-10-02,US-FR2,Mixed Forests,29.94949,-97.99623,3.3,4.8,2.67691181510445,26.097333333333346,0.1107729166666666,1.6995625,-0.9997685019798908,0.0215160974362222,3.3810152618257527,0.1107729166666666,3.491788178492419,33.603,True,
3524,US-FR2,2007-10-10,US-FR2,Mixed Forests,29.94949,-97.99623,3.1,4.2000003,2.224230043394688,23.917125,0.1197020833333333,1.3026875000000004,-0.9873494423939864,0.1585593851031347,2.9814994915419666,0.1197020833333333,3.1012015748753012,32.705,True,
3525,US-FR2,2007-10-26,US-FR2,Mixed Forests,29.94949,-97.99623,2.1,3.1000001,1.8650244768712525,12.765708333333334,0.0964791666666666,1.2218333333333335,-0.9070138128026362,0.4211008707960891,1.620308058891779,0.0964791666666666,1.7167872255584464,26.239,True,
3526,US-FR2,2007-11-27,US-FR2,Mixed Forests,29.94949,-97.99623,1.4,2.1000001,0.766612953475741,7.15075,0.0365125,1.2289583333333332,-0.5524353131676203,0.8335557718385695,1.0823984013348524,0.0365125,1.1189109013348524,17.875,True,
3527,US-FR2,2008-04-19,US-FR2,Mixed Forests,29.94949,-97.99623,2.9,6.1,3.8375866833373538,18.725500000000004,0.2016979166666666,2.3058125,0.9483615800121716,-0.3171912885891061,2.149456279846258,0.2016979166666666,2.3511541965129243,28.209,True,
3528,US-FR2,2008-06-14,US-FR2,Mixed Forests,29.94949,-97.99623,3.4,8.5,1.1191271045889577,29.039666666666676,0.2055333333333333,2.4527708333333336,0.2802306751992158,-0.9599326896597448,3.907762868501176,0.2055333333333333,4.113296201834507,35.642,True,
3529,US-FR2,2008-06-22,US-FR2,Mixed Forests,29.94949,-97.99623,3.5,6.9,0.6803681949544007,28.79983333333334,0.287,1.8124583333333328,0.1457991969198751,-0.9893142039703664,3.830609591430967,0.287,4.117609591430966,35.835,True,
3530,US-FR2,2008-08-01,US-FR2,Mixed Forests,29.94949,-97.99623,3.6,8.1,1.98518466026437,28.96327083333333,0.1821854166666666,2.24975,-0.5160623910158526,-0.8565509959010037,3.909976462105216,0.1821854166666666,4.092161878771884,35.062,True,
3531,US-FR2,2008-08-09,US-FR2,Mixed Forests,29.94949,-97.99623,7.1,8.6,1.112682221135594,29.48327083333333,0.2247354166666666,2.519416666666665,-0.6287628145958345,-0.7775971469736268,4.029196548036117,0.2247354166666666,4.253931964702783,36.497,True,
3532,US-FR2,2008-09-02,US-FR2,Mixed Forests,29.94949,-97.99623,5.0,6.9,3.558286909112938,28.43195833333332,0.2179229166666667,1.7019999999999995,-0.888057322629493,-0.4597327394521046,3.778744697762303,0.2179229166666667,3.9966676144289672,35.814,True,
